E_nu/GeV_min,E_nu/GeV_max,Dec_nu_min_deg,Dec_nu_max_deg,A_Eff_cm2
8.2,8.4,-28.69,-26.1,22793430.81
8.4,8.6,-28.69,-26.1,26631009.4
8.6,8.8,-28.69,-26.1,30957501.28
8.8,9,-28.69,-26.1,36370773.27
9,9.2,-28.69,-26.1,0
9.2,9.4,-28.69,-26.1,0
9.4,9.6,-28.69,-26.1,0
9.6,9.8,-28.69,-26.1,0
9.8,10,-28.69,-26.1,0
2,2.2,-26.1,-23.58,0
2.2,2.4,-26.1,-23.58,0
2.4,2.6,-26.1,-23.58,0
2.6,2.8,-26.1,-23.58,0
2.8,3,-26.1,-23.58,0
3,3.2,-26.1,-23.58,0
3.2,3.4,-26.1,-23.58,0
3.4,3.6,-26.1,-23.58,0
3.6,3.8,-26.1,-23.58,0
3.8,4,-26.1,-23.58,0
4,4.2,-26.1,-23.58,0
4.2,4.4,-26.1,-23.58,379.14
4.4,4.6,-26.1,-23.58,2277.12
4.6,4.8,-26.1,-23.58,7468.62
4.8,5,-26.1,-23.58,25652.04
5,5.2,-26.1,-23.58,80827.58
5.2,5.4,-26.1,-23.58,191542.47
5.4,5.6,-26.1,-23.58,420280.49
5.6,5.8,-26.1,-23.58,810234.91
5.8,6,-26.1,-23.58,1298028.16
6,6.2,-26.1,-23.58,1925692.6
6.2,6.4,-26.1,-23.58,2926804.88
6.4,6.6,-26.1,-23.58,3956017.86
6.6,6.8,-26.1,-23.58,5255349.64
6.8,7,-26.1,-23.58,6493359.98
7,7.2,-26.1,-23.58,8579323.12
7.2,7.4,-26.1,-23.58,10955167.42
7.4,7.6,-26.1,-23.58,12918223.17
7.6,7.8,-26.1,-23.58,14946620.73
7.8,8,-26.1,-23.58,18532808.9
8,8.2,-26.1,-23.58,21640829.15
8.2,8.4,-26.1,-23.58,25899734.77
8.4,8.6,-26.1,-23.58,28602750.94
8.6,8.8,-26.1,-23.58,34386698.37
8.8,9,-26.1,-23.58,37832066.04
9,9.2,-26.1,-23.58,0
9.2,9.4,-26.1,-23.58,0
9.4,9.6,-26.1,-23.58,0
9.6,9.8,-26.1,-23.58,0
9.8,10,-26.1,-23.58,0
2,2.2,-23.58,-21.1,0
2.2,2.4,-23.58,-21.1,0
