E_nu/GeV_min,E_nu/GeV_max,Dec_nu_min_deg,Dec_nu_max_deg,A_Eff_cm2
2.2,2.4,-28.69,-26.1,0
2.4,2.6,-28.69,-26.1,0
2.6,2.8,-28.69,-26.1,0
2.8,3,-28.69,-26.1,0
3,3.2,-28.69,-26.1,0
3.2,3.4,-28.69,-26.1,0
3.4,3.6,-28.69,-26.1,0
3.6,3.8,-28.69,-26.1,0
3.8,4,-28.69,-26.1,0
4,4.2,-28.69,-26.1,0
4.2,4.4,-28.69,-26.1,0
4.4,4.6,-28.69,-26.1,0
4.6,4.8,-28.69,-26.1,285.64
4.8,5,-28.69,-26.1,1368.53
5,5.2,-28.69,-26.1,3386.01
5.2,5.4,-28.69,-26.1,9116.48
5.4,5.6,-28.69,-26.1,34622.51
5.6,5.8,-28.69,-26.1,86030.92
5.8,6,-28.69,-26.1,228873.91
6,6.2,-28.69,-26.1,481098.05
6.2,6.4,-28.69,-26.1,873011.69
6.4,6.6,-28.69,-26.1,1376018.1
6.6,6.8,-28.69,-26.1,1935288.89
6.8,7,-28.69,-26.1,2420939.12
7,7.2,-28.69,-26.1,3083738.46
7.2,7.4,-28.69,-26.1,3741712.7
7.4,7.6,-28.69,-26.1,4767318.31
7.6,7.8,-28.69,-26.1,5456609
7.8,8,-28.69,-26.1,6080360.7
8,8.2,-28.69,-26.1,6323248.22
8.2,8.4,-28.69,-26.1,6681295.19
8.4,8.6,-28.69,-26.1,5712418.96
8.6,8.8,-28.69,-26.1,5614098.66
8.8,9,-28.69,-26.1,4436939.97
9,9.2,-28.69,-26.1,3537163.48
9.2,9.4,-28.69,-26.1,3323003.78
9.4,9.6,-28.69,-26.1,2603556.06
9.6,9.8,-28.69,-26.1,2221100.91
9.8,10,-28.69,-26.1,1842140.15
2,2.2,-26.1,-23.58,0
2.2,2.4,-26.1,-23.58,0
2.4,2.6,-26.1,-23.58,0
2.6,2.8,-26.1,-23.58,0
2.8,3,-26.1,-23.58,0
3,3.2,-26.1,-23.58,0
3.2,3.4,-26.1,-23.58,0
3.4,3.6,-26.1,-23.58,0
3.6,3.8,-26.1,-23.58,0
3.8,4,-26.1,-23.58,0
4,4.2,-26.1,-23.58,0
4.2,4.4,-26.1,-23.58,0
4.4,4.6,-26.1,-23.58,0
4.6,4.8,-26.1,-23.58,539.88
4.8,5,-26.1,-23.58,2112.82
5,5.2,-26.1,-23.58,4924.63
5.2,5.4,-26.1,-23.58,12207.64
5.4,5.6,-26.1,-23.58,42308.11
5.6,5.8,-26.1,-23.58,107519.93
5.8,6,-26.1,-23.58,253576.78
6,6.2,-26.1,-23.58,551484
6.2,6.4,-26.1,-23.58,959916.9
6.4,6.6,-26.1,-23.58,1539961.33
6.6,6.8,-26.1,-23.58,2154323.03
6.8,7,-26.1,-23.58,2912668
7,7.2,-26.1,-23.58,3607687.67
7.2,7.4,-26.1,-23.58,4289783.15
7.4,7.6,-26.1,-23.58,5313607.48
7.6,7.8,-26.1,-23.58,6238447.02
7.8,8,-26.1,-23.58,7161470.29
8,8.2,-26.1,-23.58,7371463.53
8.2,8.4,-26.1,-23.58,7446346.92
8.4,8.6,-26.1,-23.58,6999071.56
8.6,8.8,-26.1,-23.58,6378092.29
8.8,9,-26.1,-23.58,5984492.15
9,9.2,-26.1,-23.58,4680619.92
9.2,9.4,-26.1,-23.58,4169809.25
9.4,9.6,-26.1,-23.58,3944668.9
9.6,9.8,-26.1,-23.58,3061842.04
9.8,10,-26.1,-23.58,2504164.89
2,2.2,-23.58,-21.1,0
2.2,2.4,-23.58,-21.1,0
2.4,2.6,-23.58,-21.1,0
2.6,2.8,-23.58,-21.1,0
2.8,3,-23.58,-21.1,0
3,3.2,-23.58,-21.1,0
3.2,3.4,-23.58,-21.1,0
3.4,3.6,-23.58,-21.1,0
3.6,3.8,-23.58,-21.1,0
3.8,4,-23.58,-21.1,0
4,4.2,-23.58,-21.1,0
