E_nu/GeV_min,E_nu/GeV_max,Dec_nu_min_deg,Dec_nu_max_deg,A_Eff_cm2
8.2,8.4,-28.69,-26.1,24052402.16
8.4,8.6,-28.69,-26.1,31533217.06
8.6,8.8,-28.69,-26.1,34331692.99
8.8,9,-28.69,-26.1,43665502.67
9,9.2,-28.69,-26.1,0
9.2,9.4,-28.69,-26.1,0
9.4,9.6,-28.69,-26.1,0
9.6,9.8,-28.69,-26.1,0
9.8,10,-28.69,-26.1,0
2,2.2,-26.1,-23.58,0
2.2,2.4,-26.1,-23.58,0
2.4,2.6,-26.1,-23.58,0
2.6,2.8,-26.1,-23.58,0
2.8,3,-26.1,-23.58,0.07
3,3.2,-26.1,-23.58,0
3.2,3.4,-26.1,-23.58,0
3.4,3.6,-26.1,-23.58,1.28
3.6,3.8,-26.1,-23.58,1.54
3.8,4,-26.1,-23.58,1.72
4,4.2,-26.1,-23.58,8.85
4.2,4.4,-26.1,-23.58,0
4.4,4.6,-26.1,-23.58,56.47
4.6,4.8,-26.1,-23.58,644.38
4.8,5,-26.1,-23.58,6285.47
5,5.2,-26.1,-23.58,28481.68
5.2,5.4,-26.1,-23.58,98682.71
5.4,5.6,-26.1,-23.58,247988.79
5.6,5.8,-26.1,-23.58,530336.76
5.8,6,-26.1,-23.58,976908.11
6,6.2,-26.1,-23.58,1601318.89
6.2,6.4,-26.1,-23.58,2332813.03
6.4,6.6,-26.1,-23.58,3283777.55
6.6,6.8,-26.1,-23.58,4296285.01
6.8,7,-26.1,-23.58,5758383.11
7,7.2,-26.1,-23.58,7531321.98
7.2,7.4,-26.1,-23.58,10182047.34
7.4,7.6,-26.1,-23.58,12386095.6
7.6,7.8,-26.1,-23.58,15013323.62
7.8,8,-26.1,-23.58,18972796.67
8,8.2,-26.1,-23.58,22157054.3
8.2,8.4,-26.1,-23.58,24878742.01
8.4,8.6,-26.1,-23.58,30800201.98
8.6,8.8,-26.1,-23.58,39203681.55
8.8,9,-26.1,-23.58,45933117.66
9,9.2,-26.1,-23.58,0
9.2,9.4,-26.1,-23.58,0
9.4,9.6,-26.1,-23.58,0
9.6,9.8,-26.1,-23.58,0
